Genre_1,Genre_2,Genre_3,Shirt,Shoes,Sweater,Pants,Accessories
Dance,World Music,Vocal,Novel Grey Patterned Shirt,Eclectic Green Espadrilles,Unique Pink Poncho,Novel Blue Linen Trousers,Unique Purple Beaded Necklace
Latin,Classical,Electronic,Formal Orange Graphic Tee,Formal Grey High-top Sneakers,Sophisticated Black Cashmere Sweater,Sophisticated Purple Joggers,Formal Red Silk Scarf
Acoustic,Easy Listening,Ambient,Soft Pink Plain Tee,Handmade Purple Loafers,Relaxed White Knit Sweater,Handmade Yellow Chinos,Handmade Purple Leather Bracelet
Indie,Experimental,Country,Classic Pink Abstract Tee,Rustic Pink Avant-garde Shoes,Rustic Purple Cardigan,Denim Purple Wide-leg Pants,Classic Blue Artistic Scarf
Classical,World Music,Latin,Sophisticated Yellow Patterned Shirt,Formal White Oxfords,Elegant Black Cashmere Sweater,Sophisticated Grey Tailored Trousers,Sophisticated Blue Silk Scarf
Hip Hop/Rap,Acoustic,Indie,Soft Pink Plain Tee,Natural Yellow Loafers,Relaxed Purple Knit Sweater,Handmade Grey Chinos,Soft Orange Leather Bracelet
Easy Listening,Instrumental,Experimental,Eclectic Blue Dress Shirt,Unconventional Orange Avant-garde Shoes,Novel Red Asymmetric Sweater,Unique Pink Wide-leg Pants,Unconventional Green Pocket Square
Country,Pop,Experimental,Classic Orange Abstract Tee,Classic Blue Stylish Sneakers,Earthy Purple Asymmetric Sweater,Denim Orange Blue Jeans,Denim Pink Fashion Sunglasses
Jazz,Electronic,Folk,Neon Red Button-up Shirt,Neon Red Ankle Boots,Neon Orange Shawl,Neon Black Pleated Trousers,Neon Pink LED Bracelet
Jazz,Country,Blues,Denim Yellow Henley Shirt,Denim Purple Suede Shoes,Denim Pink Pullover,Denim Yellow Blue Jeans,Rustic Blue Fedora
Metal,Vocal,Instrumental,Unconventional Purple Dress Shirt,Eclectic Yellow Dress Shoes,Unconventional Purple Blazer,Unconventional Purple Dress Pants,Unique Green Pocket Square
Acoustic,Instrumental,Indie,Soft Black Plain Tee,Natural Orange Loafers,Soft Orange Blazer,Handmade Black Dress Pants,Relaxed Yellow Leather Bracelet
World Music,Blues,Rock,Deep White Henley Shirt,Deep Pink Suede Shoes,Worn Red Denim Jacket,Deep Grey Slacks,Worn Red Beaded Necklace
Soul/R&B,Ambient,Other,Unconventional Purple Silk Shirt,Unconventional Black Sneakers,Eclectic Black Velvet Jacket,Unique Grey Relaxed Fit Pants,Eclectic Yellow Gold Chain
Easy Listening,Reggae,Indie,Bohemian Yellow Rasta Tank,Relaxed Orange Sandals,Bohemian Orange Rasta Beanie,Vibrant Grey Cargo Shorts,Rasta Purple Rasta Bracelet
Vocal,Metal,Blues,Retro Green Henley Shirt,Deep White Suede Shoes,Soulful Grey Vest,Worn Yellow Slacks,Retro Pink Fedora
Hip Hop/Rap,Indie,Reggae,Rasta Black Rasta Tank,Relaxed Green Sandals,Relaxed Green Rasta Beanie,Vibrant Orange Cargo Shorts,Vibrant Red Rasta Bracelet
Vocal,Blues,Indie,Soulful Red Henley Shirt,Soulful Grey Suede Shoes,Deep Blue Vest,Soulful Orange Slacks,Deep Blue Fedora
Experimental,Vocal,Ambient,Novel Green Abstract Tee,Novel White Avant-garde Shoes,Eclectic Green Asymmetric Sweater,Unconventional Orange Wide-leg Pants,Novel Blue Artistic Scarf
Metal,Experimental,Reggae,Vibrant Yellow Rasta Tank,Bohemian Yellow Avant-garde Shoes,Vibrant Orange Rasta Beanie,Rasta Grey Cargo Shorts,Relaxed Purple Artistic Scarf
Vocal,Classical,Experimental,Timeless Grey Abstract Tee,Formal Orange Oxfords,Timeless Orange Asymmetric Sweater,Formal Yellow Tailored Trousers,Formal Purple Artistic Scarf
Pop,Country,Ambient,Bright Grey Trendy Tee,Glamorous Purple Stylish Sneakers,Trendy Yellow Cardigan,Glamorous Blue Blue Jeans,Trendy White Fashion Sunglasses
Indie,Ambient,Rock,Leather Blue Band Tee,Vintage Green Leather Boots,Vintage Grey Denim Jacket,Studded Green Black Jeans,Vintage Blue Studded Belt
Electronic,Punk,Folk,Metallic Blue Earthy Tone Tee,Metallic Black High-top Sneakers,Neon Green Hoodie,Metallic Black Corduroy Pants,Metallic Black Choker Necklace
Acoustic,Rock,Reggae,Natural Orange Band Tee,Natural Black Leather Boots,Relaxed Grey Rasta Beanie,Soft Orange Chinos,Handmade Black Leather Bracelet
Pop,Indie,Acoustic,Bright Orange Trendy Tee,Sparkly Pink Loafers,Trendy Black Bomber Jacket,Sparkly Yellow Chinos,Sparkly Orange Fashion Sunglasses
Metal,Country,Classical,Classic Green Flannel Shirt,Rustic Green Cowboy Boots,Rustic Purple Cardigan,Earthy Black Tailored Trousers,Denim Red Cowboy Hat
Electronic,Classical,Hip Hop/Rap,Neon White Graphic Tee,Neon Orange Oxfords,Neon Green Cashmere Sweater,Neon Grey Joggers,Metallic Blue LED Bracelet
Metal,Folk,Classical,Formal Grey Earthy Tone Tee,Elegant White Oxfords,Sophisticated Red Shawl,Timeless Black Tailored Trousers,Timeless Black Boho Necklace
World Music,Indie,Experimental,Eclectic Pink Patterned Shirt,Unique Yellow Avant-garde Shoes,Eclectic Yellow Poncho,Eclectic Green Wide-leg Pants,Novel Yellow Artistic Scarf
Indie,Easy Listening,Electronic,Glowing Orange Graphic Tee,Neon Black High-top Sneakers,Futuristic Red Hoodie,Metallic Green Joggers,Neon Red LED Bracelet
Classical,Metal,Blues,Formal Grey Henley Shirt,Elegant Purple Suede Shoes,Formal Red Vest,Elegant Green Tailored Trousers,Timeless Purple Silk Scarf
Vocal,Pop,World Music,Glamorous Blue Trendy Tee,Glamorous White Espadrilles,Glamorous Black Bomber Jacket,Trendy Orange Skinny Jeans,Sparkly Red Beaded Necklace
Jazz,Folk,Blues,Retro Grey Earthy Tone Tee,Soulful Green Suede Shoes,Worn Blue Vest,Retro Pink Corduroy Pants,Retro Grey Beret
Folk,Metal,Pop,Trendy Pink Trendy Tee,Glamorous Orange Ankle Boots,Glamorous Green Shawl,Trendy Purple Skinny Jeans,Glamorous White Boho Necklace
Other,Rock,Classical,Unique Purple Casual Tee,Unconventional Black Leather Boots,Unique Yellow Cashmere Sweater,Eclectic Pink Tailored Trousers,Novel Blue Baseball Cap
Rock,Country,Punk,Grunge Blue Flannel Shirt,Grunge Pink Cowboy Boots,Grunge Green Cardigan,Studded Grey Blue Jeans,Vintage Red Choker Necklace
Indie,Classical,Other,Formal Red Turtleneck,Formal Blue Oxfords,Formal Yellow Zip-up Hoodie,Elegant Pink Tailored Trousers,Timeless Blue Silk Scarf
Indie,Soul/R&B,Dance,Eclectic Purple Silk Shirt,Eclectic Green Velvet Loafers,Unique Blue Velvet Jacket,Unique Yellow Relaxed Fit Pants,Novel Red Gold Chain
Ambient,World Music,Jazz,Unconventional Blue Button-up Shirt,Novel Green Espadrilles,Unconventional Red Pullover,Novel Pink Pleated Trousers,Unconventional Green Beret
Punk,Metal,Jazz,Unique Orange Button-up Shirt,Eclectic White Brogues,Eclectic Blue Pullover,Novel Pink Pleated Trousers,Unconventional Orange Beret
Other,Country,Experimental,Eclectic White Flannel Shirt,Unconventional Purple Avant-garde Shoes,Novel Blue Zip-up Hoodie,Unconventional Orange Wide-leg Pants,Eclectic Yellow Baseball Cap
Dance,Rock,Metal,Vintage Grey Band Tee,Leather Red Leather Boots,Leather Yellow Denim Jacket,Leather Blue Black Jeans,Grunge Yellow Studded Belt
Rock,Hip Hop/Rap,Country,Studded Yellow Band Tee,Leather Black Leather Boots,Studded Red Cardigan,Vintage Orange Black Jeans,Leather Green Studded Belt
Other,World Music,Dance,Eclectic Blue Casual Tee,Unconventional Yellow Espadrilles,Eclectic Green Zip-up Hoodie,Eclectic Grey Casual Jeans,Eclectic Red Beaded Necklace
Vocal,Pop,Latin,Trendy Grey Brightly Colored Shirt,Bright Blue Stylish Sneakers,Bright Pink Light Jacket,Trendy Black Skinny Jeans,Bright Blue Fedora Hat
Blues,Electronic,Pop,Retro Purple Trendy Tee,Deep Green High-top Sneakers,Deep Blue Bomber Jacket,Worn Pink Slacks,Deep Pink LED Bracelet
Hip Hop/Rap,Acoustic,Latin,Relaxed White Plain Tee,Soft Purple Dance Shoes,Soft White Knit Sweater,Soft Blue Salsa Pants,Natural Grey Fedora Hat
Hip Hop/Rap,Instrumental,Soul/R&B,Novel Pink Silk Shirt,Novel Grey Dress Shoes,Unique Orange Blazer,Novel Red Relaxed Fit Pants,Unconventional Black Pocket Square
World Music,Experimental,Blues,Soulful Blue Abstract Tee,Soulful Yellow Suede Shoes,Deep Pink Vest,Retro Purple Slacks,Worn Purple Beaded Necklace
Rock,Vocal,Electronic,Grunge Green Graphic Tee,Grunge Orange Leather Boots,Grunge Black Denim Jacket,Leather Yellow Joggers,Leather White LED Bracelet
Reggae,Metal,Instrumental,Bohemian Orange Rasta Tank,Vibrant Yellow Sandals,Bohemian Black Blazer,Bohemian Green Dress Pants,Vibrant Green Rasta Bracelet
Latin,Experimental,Country,Rustic Orange Flannel Shirt,Denim Blue Cowboy Boots,Classic Red Asymmetric Sweater,Rustic Purple Wide-leg Pants,Denim Black Artistic Scarf
Instrumental,Metal,Acoustic,Natural Purple Plain Tee,Soft Red Dress Shoes,Handmade Purple Knit Sweater,Soft Blue Dress Pants,Relaxed Green Leather Bracelet
Easy Listening,Metal,Dance,Eclectic Orange Dance Tee,Eclectic Green Sneakers ,Unique Pink Leather Jacket,Unique Blue Athletic shorts ,Unique Pink LED Bracelet
Other,Vocal,Soul/R&B,Unique Grey Silk Shirt,Eclectic Black Velvet Loafers,Novel Grey Zip-up Hoodie,Unconventional Purple Relaxed Fit Pants,Unconventional Grey Gold Chain
Ambient,Electronic,Acoustic,Futuristic Orange Plain Tee,Neon Red Loafers,Metallic Green Knit Sweater,Metallic Purple Joggers,Futuristic Grey LED Bracelet
Folk,Electronic,Soul/R&B,Glowing Red Earthy Tone Tee,Metallic Blue High-top Sneakers,Metallic Purple Hoodie,Glowing Grey Relaxed Fit Pants,Metallic Purple Boho Necklace
Classical,Indie,Metal,Elegant Green Turtleneck,Elegant Purple Oxfords,Timeless Red Cashmere Sweater,Sophisticated Red Tailored Trousers,Elegant Purple Silk Scarf
Blues,Rock,Country,Deep Green Henley Shirt,Deep White Suede Shoes,Retro Blue Denim Jacket,Soulful Orange Slacks,Worn Purple Fedora
Electronic,Indie,Country,Futuristic Grey Graphic Tee,Futuristic Black High-top Sneakers,Futuristic Blue Hoodie,Neon Red Blue Jeans,Neon Grey LED Bracelet
Folk,Acoustic,Soul/R&B,Natural Red Earthy Tone Tee,Natural Red Ankle Boots,Handmade Pink Knit Sweater,Relaxed Blue Chinos,Handmade Blue Boho Necklace
Blues,Rock,Latin,Retro Orange Henley Shirt,Worn Purple Suede Shoes,Soulful Red Vest,Worn Black Slacks,Retro Orange Studded Belt
Rock,Folk,Classical,Studded Purple Turtleneck,Leather Blue Leather Boots,Studded Black Shawl,Grunge Black Corduroy Pants,Vintage Green Silk Scarf
Instrumental,Soul/R&B,Indie,Novel Grey Dress Shirt,Unique Pink Velvet Loafers,Unconventional Green Blazer,Unconventional Orange Relaxed Fit Pants,Unconventional Yellow Gold Chain
Rock,Blues,Other,Grunge Blue Casual Tee,Vintage White Suede Shoes,Vintage White Denim Jacket,Vintage Purple Slacks,Studded Purple Fedora
Instrumental,Easy Listening,Rock,Grunge Red Dress Shirt,Grunge Blue Dress Shoes,Grunge Purple Denim Jacket,Grunge Orange Dress Pants,Grunge Black Studded Belt
Metal,Jazz,Punk,Eclectic White Plaid Shirt,Unique White Combat Boots,Unconventional Red Pullover,Eclectic Purple Ripped Jeans,Unconventional Orange Choker Necklace
Country,Vocal,Electronic,Denim Red Flannel Shirt,Rustic Yellow Cowboy Boots,Rustic White Hoodie,Earthy Grey Joggers,Earthy Red LED Bracelet
Experimental,Indie,Easy Listening,Novel Black Abstract Tee,Unique Yellow Avant-garde Shoes,Novel Grey Asymmetric Sweater,Novel Black Wide-leg Pants,Eclectic Pink Artistic Scarf
Acoustic,Blues,Folk,Natural Red Plain Tee,Handmade Black Suede Shoes,Handmade Yellow Shawl,Handmade Grey Chinos,Handmade Green Fedora
Rock,Ambient,Blues,Leather Grey Henley Shirt,Vintage Yellow Suede Shoes,Grunge Orange Vest,Vintage Green Slacks,Grunge Black Studded Belt
Vocal,Instrumental,Metal,Eclectic White Dress Shirt,Eclectic Yellow Dress Shoes,Unconventional Black Blazer,Unique Red Dress Pants,Unconventional White Pocket Square
Indie,Blues,Latin,Worn Pink Brightly Colored Shirt,Retro Black Suede Shoes,Soulful Black Light Jacket,Deep Yellow Slacks,Worn Purple Fedora Hat
Reggae,Ambient,Blues,Bohemian Blue Rasta Tank,Rasta Green Sandals,Bohemian Purple Vest,Rasta Blue Slacks,Vibrant Blue Rasta Bracelet
Reggae,World Music,Acoustic,Rasta Blue Rasta Tank,Bohemian Green Sandals,Rasta Purple Rasta Beanie,Rasta Purple Linen Trousers,Rasta White Beaded Necklace
Folk,Other,Jazz,Unique Grey Button-up Shirt,Unique Purple Sneakers,Novel Yellow Zip-up Hoodie,Eclectic Grey Pleated Trousers,Novel Green Boho Necklace
